,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,지자체,해수욕장명,백사장면적(m2),camp_num,beach_code,latitude,longitude,obs_wtemp,obs_wave,obs_air,wtemp,wave,atemp,wind,toilet,shower
165,165,165,165,인천시,하나개," 45,500 ",0,BCH276,37.384,126.409,TW_0076,TW_0069,TW_0069,0.0,0.0,0.0,0.0,0,0
166,166,166,166,전라남도,금장," 10,000 ",0,BCH206,34.434,127.164,TW_0081,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
167,167,167,167,전라남도,나로우주," 30,000 ",0,BCH209,34.466,127.47,TW_0083,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
168,168,168,168,전라남도,남열해돋이," 64,000 ",0,BCH064,34.579,127.486,TW_0083,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
169,169,169,169,전라남도,대전," 63,000 ",0,BCH211,34.713,127.271,TW_0083,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
170,170,170,170,전라남도,덕흥," 25,000 ",0,BCH210,34.527,127.459,TW_0083,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
171,171,171,171,전라남도,발포," 21,000 ",0,BCH207,34.491,127.355,TW_0081,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
172,172,172,172,전라남도,연소," 12,000 ",0,BCH205,34.447,127.116,TW_0081,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
173,173,173,173,전라남도,염포," 15,000 ",1,BCH208,34.432,127.492,TW_0083,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
174,174,174,174,전라남도,용동," 8,000 ",0,BCH203,34.631,127.18,TW_0081,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
175,175,175,175,전라남도,익금," 45,000 ",0,BCH204,34.429,127.145,TW_0081,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
176,176,176,176,전라남도,풍류," 25,000 ",0,BCH212,34.664,127.229,TW_0081,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
177,177,177,177,전라남도,외달도," 7,800 ",0,BCH230,34.781,126.297,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
178,178,178,178,전라남도,톱머리," 10,000 ",0,BCH232,34.968,126.386,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
179,179,179,179,전라남도,홀통," 9,000 ",0,BCH231,35.062,126.336,TW_0079,TW_0079,TW_0079,0.0,0.0,0.0,0.0,0,0
180,180,180,180,전라남도,율포솔밭," 54,000 ",0,BCH063,34.67,127.089,TW_0081,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
181,181,181,181,전라남도,대광," 1,200,000 ",0,BCH059,35.103,126.071,TW_0079,TW_0079,TW_0079,0.0,0.0,0.0,0.0,0,0
182,182,182,182,전라남도,돈목," 42,400 ",0,BCH239,34.608,125.827,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
183,183,183,183,전라남도,배낭기미," 6,000 ",0,BCH302,34.689,125.427,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
184,184,184,184,전라남도,백길," 81,000 ",0,BCH234,34.849,126.039,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
185,185,185,185,전라남도,분계," 60,000 ",0,BCH235,34.871,125.98,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
186,186,186,186,전라남도,설레미," 27,872 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
187,187,187,187,전라남도,시목," 64,200 ",1,BCH238,34.672,125.954,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
188,188,188,188,전라남도,신도," 6,000 ",0,BCH303,34.588,125.973,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
189,189,189,189,전라남도,우전," 60,000 ",0,BCH060,34.971,126.137,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
190,190,190,190,전라남도,원평," 80,300 ",0,BCH157,37.32,129.272,HB_0009,TW_0094,HB_0008,0.0,0.0,0.0,0.0,0,0
191,191,191,191,전라남도,짱뚱어," 60,000 ",0,BCH233,34.988,126.135,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
192,192,192,192,전라남도,추포," 24,000 ",0,BCH241,34.802,126.068,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
193,193,193,193,전라남도,하트," 14,000 ",0,BCH237,34.75,125.895,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
194,194,194,194,전라남도,홍도," 3,600 ",0,BCH304,34.684,125.19,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
195,195,195,195,전라남도,황성금리," 9,100 ",0,BCH240,34.533,126.056,TW_0080,TW_0080,TW_0080,0.0,0.0,0.0,0.0,0,0
196,196,196,196,전라남도,만성리," 36,750 ",0,BCH040,34.778,127.745,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
197,197,197,197,전라남도,모사금," 6,750 ",0,BCH197,34.796,127.756,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
198,198,198,198,전라남도,무슬목," 10,000 ",0,BCH200,34.683,127.776,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
199,199,199,199,전라남도,방죽포," 7,425 ",0,BCH199,34.63,127.793,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
200,200,200,200,전라남도,안도," 4,000 ",1,BCH202,34.49,127.812,TW_0083,DT_0042,KG_0025,0.0,0.0,0.0,0.0,0,0
201,201,201,201,전라남도,웅천," 10,950 ",1,BCH196,34.747,127.667,TW_0083,DT_0042,TW_0081,0.0,0.0,0.0,0.0,0,0
202,202,202,202,전라남도,유림(거문도)," 2,700 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
203,203,203,203,전라남도,장등," 8,000 ",0,BCH198,34.644,127.61,TW_0083,DT_0042,TW_0081,0.0,0.0,0.0,0.0,0,0
204,204,204,204,전라남도,가마미," 200,000 ",1,BCH243,35.398,126.408,TW_0079,TW_0079,TW_0079,0.0,0.0,0.0,0.0,0,0
205,205,205,205,전라남도,송이도," 20,000 ",0,BCH244,35.273,126.151,TW_0079,TW_0079,TW_0079,0.0,0.0,0.0,0.0,0,0
206,206,206,206,전라남도,금일 명사십리," 875,000 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
207,207,207,207,전라남도,보길 예송," 30,000 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
208,208,208,208,전라남도,보길 중리," 45,000 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
209,209,209,209,전라남도,보길 통리," 24,000 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
210,210,210,210,전라남도,생일 금곡," 25,000 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
211,211,211,211,전라남도,신지 동고," 60,000 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
212,212,212,212,전라남도,신지명사십리," 570,000 ",0,BCH061,34.326,126.812,TW_0078,TW_0081,TW_0081,0.0,0.0,0.0,0.0,0,0
213,213,213,213,전라남도,약산 가사," 7,500 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
214,214,214,214,전라남도,청산 신흥," 68,000 ",0,0,0.0,0.0,TW_0082,IE_0062,TW_0069,0.0,0.0,0.0,0.0,0,0
